Threshold_Mode,Curve,Channel,P_Noise,F_Eve,Threshold_Value,K,Trials,Rate
Sstar,FPR,Noise_5%(p=0.1),0.1,0.0,1.722,100,200,0.125
Sstar,FPR,Noise_5%(p=0.1),0.1,0.0,1.722,200,200,0.075
Sstar,FPR,Noise_5%(p=0.1),0.1,0.0,1.722,300,200,0.03
Sstar,FPR,Noise_5%(p=0.1),0.1,0.0,1.722,500,200,0.0
Sstar,FPR,Noise_5%(p=0.1),0.1,0.0,1.722,1000,200,0.0
Sstar,FPR,Noise_5%(p=0.1),0.1,0.0,1.722,2000,200,0.0
Sstar,FPR,Noise_5%(p=0.1),0.1,0.0,1.722,3000,200,0.0
Sstar,FPR,Threshold_11%(p=0.22),0.22,0.0,1.293,100,200,0.21
Sstar,FPR,Threshold_11%(p=0.22),0.22,0.0,1.293,200,200,0.125
Sstar,FPR,Threshold_11%(p=0.22),0.22,0.0,1.293,300,200,0.115
Sstar,FPR,Threshold_11%(p=0.22),0.22,0.0,1.293,500,200,0.06
Sstar,FPR,Threshold_11%(p=0.22),0.22,0.0,1.293,1000,200,0.0
Sstar,FPR,Threshold_11%(p=0.22),0.22,0.0,1.293,2000,200,0.0
Sstar,FPR,Threshold_11%(p=0.22),0.22,0.0,1.293,3000,200,0.0
Sstar,FNR,Ideal_0%(p=0.0),0.0,1.0,2.124,100,200,0.125
Sstar,FNR,Ideal_0%(p=0.0),0.0,1.0,2.124,200,200,0.02
Sstar,FNR,Ideal_0%(p=0.0),0.0,1.0,2.124,300,200,0.015
Sstar,FNR,Ideal_0%(p=0.0),0.0,1.0,2.124,500,200,0.0
Sstar,FNR,Ideal_0%(p=0.0),0.0,1.0,2.124,1000,200,0.0
Sstar,FNR,Ideal_0%(p=0.0),0.0,1.0,2.124,2000,200,0.0
Sstar,FNR,Ideal_0%(p=0.0),0.0,1.0,2.124,3000,200,0.0
Fixed2.0,FPR,Noise_5%(p=0.1),0.1,0.0,2.0,100,200,0.245
Fixed2.0,FPR,Noise_5%(p=0.1),0.1,0.0,2.0,200,200,0.195
Fixed2.0,FPR,Noise_5%(p=0.1),0.1,0.0,2.0,300,200,0.135
Fixed2.0,FPR,Noise_5%(p=0.1),0.1,0.0,2.0,500,200,0.125
Fixed2.0,FPR,Noise_5%(p=0.1),0.1,0.0,2.0,1000,200,0.035
Fixed2.0,FPR,Noise_5%(p=0.1),0.1,0.0,2.0,2000,200,0.0
Fixed2.0,FPR,Noise_5%(p=0.1),0.1,0.0,2.0,3000,200,0.005
Fixed2.0,FPR,Threshold_11%(p=0.22),0.22,0.0,2.0,100,200,0.67
Fixed2.0,FPR,Threshold_11%(p=0.22),0.22,0.0,2.0,200,200,0.83
Fixed2.0,FPR,Threshold_11%(p=0.22),0.22,0.0,2.0,300,200,0.81
Fixed2.0,FPR,Threshold_11%(p=0.22),0.22,0.0,2.0,500,200,0.895
Fixed2.0,FPR,Threshold_11%(p=0.22),0.22,0.0,2.0,1000,200,0.94
Fixed2.0,FPR,Threshold_11%(p=0.22),0.22,0.0,2.0,2000,200,0.98
Fixed2.0,FPR,Threshold_11%(p=0.22),0.22,0.0,2.0,3000,200,0.995
Fixed2.0,FNR,Ideal_0%(p=0.0),0.0,1.0,2.0,100,200,0.165
Fixed2.0,FNR,Ideal_0%(p=0.0),0.0,1.0,2.0,200,200,0.075
Fixed2.0,FNR,Ideal_0%(p=0.0),0.0,1.0,2.0,300,200,0.025
Fixed2.0,FNR,Ideal_0%(p=0.0),0.0,1.0,2.0,500,200,0.01
Fixed2.0,FNR,Ideal_0%(p=0.0),0.0,1.0,2.0,1000,200,0.0
Fixed2.0,FNR,Ideal_0%(p=0.0),0.0,1.0,2.0,2000,200,0.0
Fixed2.0,FNR,Ideal_0%(p=0.0),0.0,1.0,2.0,3000,200,0.0
