Noise_Profile,P_Noise,F_Eve,Pairs,Trials,Mean_SKR,Std_SKR,Mean_S,Std_S
Ideal_0%,0.0,0.0,8192,50,0.2212841796875,0.004336336134722864,2.826821112695124,0.04335225751819772
Ideal_0%,0.0,1.0,8192,50,0.0,0.0,1.4197770910151968,0.05601151400187059
Noise_2%,0.04,0.0,8192,50,0.11749556172862693,0.009098819132008173,2.601055042681746,0.05350792855507868
Noise_2%,0.04,1.0,8192,50,0.0,0.0,1.317862858387781,0.049408690177156364
Noise_5%,0.1,0.0,8192,50,0.019823100358654856,0.009197986857935218,2.2886126144063503,0.057581334671684366
Noise_5%,0.1,1.0,8192,50,0.0,0.0,1.1458039935716373,0.06449845267186491
Noise_8%,0.16,0.0,8192,50,0.0,0.0,1.984915098688196,0.05623813491190236
Noise_8%,0.16,1.0,8192,50,0.0,0.0,0.9981420038301217,0.06215018181411058
Threshold_11%,0.22,0.0,8192,50,0.0,0.0,1.728093470165542,0.05925284463646106
Threshold_11%,0.22,1.0,8192,50,0.0,0.0,0.8590609214684592,0.05986707988886707
